Cat_name,Status
Low Voltage Transformers,FALSE
Extension Cords,TRUE
Surveillance Video Equipment_Surveillance Cameras_Hidden Cameras,TRUE
Showers & Shower Parts_Shower Installation Kits,FALSE
Impact Wrenches,TRUE
Plugs,FALSE
Hand Planes & Accessories_Block Planes,TRUE
Safety Masks & Respirators_Safety Masks,FALSE
Power Finishing Tool Parts & Accessories_Power Sander Parts & Accessories_Replacement Parts,FALSE
Raw Building Materials_Construction Boards,FALSE
Wire Scratch Brushes,FALSE
Doors_Interior & Closet Doors_Slab Doors,FALSE
Handsaws,TRUE
Post-Mount Mailboxes,TRUE
Vanity Lights,FALSE
Screwdriver Accessories_Screwdriver Bit Sets,TRUE
Nuts_Slip Joint Nuts,FALSE
Beverage Refrigerator Replacement Parts,FALSE
Lighted Exit Signs,TRUE
Power Rotary Tool Parts & Accessories_Cutting Wheels,FALSE
Shutter Hardware_Shutter Hinges,TRUE
Punches_Pin Punches,TRUE
Power Finishing Tool Parts & Accessories_Power Sander Parts & Accessories_Sanding Sleeves,FALSE
Mailbox Accessories & Hardware_Mailbox Hardware,TRUE
Screens,TRUE
Doors_Garage Doors Openers & Parts_Opener Systems,FALSE
Wet-Dry Vacuums,TRUE
Trash Compactor Parts & Accessories,FALSE
Tubing & Hoses,FALSE
Hand & Arm Protection_Oven Mitts,TRUE
Taping Knives,TRUE
Paint Application Tools_Paint Edgers,TRUE
Protective Workwear_Safety Apparel_Shirts,FALSE
Window Screen Accessories_Repair Tapes,FALSE
Screws_Panel Screws,FALSE
Abrasive Wheels & Discs_Toolroom Grinding Wheels,FALSE
Drywall Lifts,TRUE
Standard Outlets,FALSE
Multitools & Accessories_Accessories,TRUE
Cartridges,FALSE
Taps & Dies_Dies_Round Threading Dies,TRUE
Cabinet Locks,TRUE
Solder & Flux_Soldering Flux,FALSE
Caliper Gages,TRUE
Windows_Sliding Windows,FALSE
Mounts & Accessories_Accessories,FALSE
Vacuum Parts & Accessories_Replacement Batteries & Parts_Batteries,FALSE
Decking & Fencing_Materials_Hardware Cloth,FALSE
Faucet Extension Tubes,FALSE
Spacers & Standoffs_Spacers,FALSE
Flooring_Accessories_Leveling Compounds,FALSE
Lock Replacement Parts,FALSE
Welding Equipment & Accessories_Arc Welding Equipment_Stick Electrodes,TRUE
Towel Rings,TRUE
Raw Building Materials_Glass_Plate Glass,FALSE
Protective Workwear_Controlled Environment Disposable Apparel,FALSE
Bolts_Penta Head Bolts,FALSE
Hand Planes & Accessories_Jack Planes,TRUE
Bathroom Sink & Bathtub Accessories_Sink & Bathtub Drains_Bathtub Drains,FALSE
Hand & Arm Protection_Lab Safety & Work Gloves_Safety Work Gloves,TRUE
Raw Building Materials_Veneers,FALSE
Kitchen Sink Accessories_Garbage Disposals & Parts_Garbage Disposal Parts,FALSE
Hand & Arm Protection_Lab Safety & Work Gloves_Cleanroom Gloves,TRUE
Tool Belts,TRUE
Welding Equipment & Accessories_Gas Welding Equipment_Fuel Cylinders,TRUE
Cables & Chains,TRUE
Sewage_Effluent Pumps,FALSE
Bathroom Sinks_Corner Sinks,FALSE
Threaded Inserts_Thread Locking Inserts,FALSE
Bathroom Ventilation Fans,FALSE
Tool Belts,TRUE
Saw Blades Parts & Accessories_Accessories_Circular Saw Accessories,FALSE
Ergonomic Supports_Ankle Supports,FALSE
Power Drill Parts & Accessories_Drill Bits_Twist Drill Bits_Long Length Drill Bits,TRUE
Desk Lamps,TRUE
Storage Lockers,TRUE
Screws_Wood Screws,FALSE
Sanding Blocks,FALSE
Sealers,FALSE
Strobe Lights,FALSE
Glue Guns,FALSE
Air Tool Parts & Accessories_Fittings,FALSE
Protective Workwear_Safety Apparel_Gowns,FALSE
Face Protection_Masks & Respirators_Respirators_Disposable Respirators,FALSE
Parts & Accessories_Accessories,TRUE
Spring Snaps,FALSE
Power Drill Parts & Accessories_Hole Saws & Accessories_Hole Saw Sets,TRUE
Retaining Rings_External Retaining Rings,FALSE
Power Drill Parts & Accessories_Hole Saws & Accessories_Hole Saws,TRUE
Showers & Shower Parts_Shower Stalls,FALSE
Flooring_Flooring Materials_Wood Laminate Flooring,FALSE
Stud Finders,TRUE
Router Parts & Accessories_Collets,TRUE
Power Fastening Tool Parts & Accessories_Collated Fasteners_Collated Screws,FALSE
Wall Switches_Motion-Activated Switches,FALSE
Blower Replacement Parts,FALSE
Saws_Tile & Masonry Saws,TRUE
Paint Application Tools_Paint Roller Frames,TRUE
Accessories_Mount Adapters,TRUE
Washers_Lock Washers_Tooth Lock Washers,FALSE
Surveillance Video Equipment_Surveillance NVR Kits,TRUE
Thermal Imagers,TRUE
Decking & Fencing_Hardware_Decking Screws,FALSE
Stair Parts_Brackets,FALSE
Rivets_Push-In Rivets,FALSE
Kitchen Faucets_Kitchen Sink Faucets_Touch On Kitchen Sink Faucets,TRUE
Saw Blades Parts & Accessories_Accessories_Miter Saw Accessories,FALSE
Caulking Guns,FALSE
Bolts_T-Handle Bolts,FALSE
Electrical Testers_Resistance Meters_Ground Resistance Meters,TRUE
Lava Lamps,TRUE
Lighting Downrods & Stems,TRUE
Paper Lanterns,TRUE
Showers & Shower Parts_Steam Showers,FALSE
Staples_Wire Fencing Staples,FALSE
Landscape Lighting_In-Ground Lights,FALSE
Trim,FALSE
Bathroom Safety & Accessibility_Toilet Seats & Commodes_Toilet Tissue Aids,FALSE
Wrench Sets,TRUE
Pry Bars,TRUE
Pendant Lights,TRUE
Warning Lights,TRUE
Line Lasers,TRUE
Toilets & Toilet Parts_Toilet Replacement Parts,FALSE
Indoor Safety Gates_Gate Extensions,TRUE
Pump Replacement Parts,FALSE
Bolt Snaps,FALSE
Power Drill Parts & Accessories_Hole Saws & Accessories_Hole Saw Extensions,TRUE
Pipe Fittings,FALSE
Track Lighting_Connectors,TRUE
Kitchen Sink Aerators,TRUE
Built-in Cabinetry,FALSE
Sink & Bathtub Spouts,FALSE
Saw Blades Parts & Accessories_Blades_Table Saw Blades,FALSE
Split-Bolt Connectors,FALSE
Windows_Casement Windows,FALSE
Abrasive Wheels & Discs_OD Grinding Wheels_Feed Regulating Grinding Wheels,FALSE
Handheld Flashlights,TRUE
Bonsai Tools_Bonsai Training Wire,FALSE
Clock Keys,TRUE
Jacks & Accessories_Pump Jacks,TRUE
Sanders_Disc Sanders,TRUE
Bathroom Safety & Accessibility_Toilet Seats & Commodes_Raised Toilet Seats,FALSE
Flameless Candles,TRUE
Screws_Drywall Screws,FALSE
Sand Blasters,TRUE
Impact Drivers,TRUE
Stair Parts_Rods,FALSE
Clock Movements,TRUE
Primer,FALSE
Surveillance Video Equipment_Video Multiplexers & Quads,TRUE
Hand Planes & Accessories_Smoothing Planes,TRUE
Router Parts & Accessories_Router Bits_Straight Spiral & Trim Bits_Spiral,TRUE
Doors_Exterior Doors_Entry Doors,FALSE
Nuts_Acorn Nuts,FALSE
Ceiling Fan Light Kits,FALSE
Workholding Devices_Clamps_Strap Clamps,TRUE
Nuts_Self-Clinching Nuts,FALSE
Screwdriver Accessories_Screwdriver Bits_Specialty Bits,TRUE
Vacuum & Dust Collector Accessories_Hose Clamps,FALSE
Light Sockets,FALSE
Decking & Fencing_Hardware_Decking Nails,FALSE
Porch & Patio Lights_Pendant Lights,TRUE
Power Rotary Tool Parts & Accessories_Burs,FALSE
Surveillance Video Equipment_Surveillance Cameras_Dome Cameras,TRUE
Track Lighting_Complete Kits,FALSE
Conduits,FALSE
Range Receptacles,FALSE
Battery Packs & Chargers_Battery Packs,FALSE
Range Parts & Accessories_Drip Pans,FALSE
